sample1,,0,1 mg mL,,EM-260 0,1,,EM-260 0,01,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
553,0.09201144427,553,0.0153312739,553,0.002197340364,553,0.0008340697386,
552,0.0919001475,552,0.0155376466,552,0.00239006686,552,0.001079257461,
551,0.09142234176,551,0.01563104801,551,0.002628452145,551,0.0008942966815,
550,0.09138384461,550,0.01526793931,550,0.002610482741,550,0.0006737646181,
549,0.09141218662,549,0.01549507119,549,0.002586004091,549,0.0008192866226,
548,0.09132100642,548,0.0156550929,548,0.002766685095,548,0.001074690255,
547,0.0914696306,547,0.01569746807,547,0.003005094593,547,0.0009003665182,
546,0.09145090729,546,0.01549660042,546,0.002788568847,546,0.0008750760462,
545,0.09151986986,545,0.01597807743,545,0.00282509625,545,0.0009911909001,
544,0.09153511375,544,0.01569193974,544,0.002639182145,544,0.0007990319864,
543,0.09189675748,543,0.01559042186,543,0.002703671344,543,0.0008871115278,
542,0.09196019173,542,0.01582913287,542,0.002500625327,542,0.0008544556913,
541,0.09255962819,541,0.01600012742,541,0.002495131921,541,0.0007670569466,
540,0.09269782156,540,0.01577710547,540,0.002866056515,540,0.00112970802,
539,0.09324999154,539,0.01582435332,539,0.002620821586,539,0.001094620442,
538,0.09330036491,538,0.01600533724,538,0.002758270595,538,0.0008424470434,
537,0.09327094257,537,0.01564449258,537,0.002459309064,537,0.001027723076,
536,0.09356396645,536,0.01594421268,536,0.002411541296,536,0.000973989605,
535,0.09395519644,535,0.01577949524,535,0.002795941662,535,0.001175777754,
534,0.09393624216,534,0.01570184343,534,0.002581394976,534,0.001182214823,
533,0.0930948481,533,0.01586430334,533,0.002390613547,533,0.0009163456853,
532,0.09250947088,532,0.01571180113,532,0.002238839865,532,0.0009094714187,
531,0.09202887863,531,0.01567054912,531,0.002631889889,531,0.0009417422698,
530,0.09124799073,530,0.0157945808,530,0.002433224814,530,0.0009871434886,
529,0.09052857012,529,0.01588771679,529,0.00268064579,529,0.001356677734,
528,0.08988145739,528,0.01578722708,528,0.002180637559,528,0.0008470118628,
527,0.08929940313,527,0.01586489379,527,0.002522235271,527,0.001093608327,
526,0.08951476961,526,0.01619964279,526,0.002761891577,526,0.001438117819,
